Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2026-04-20 18:22:17,false,"Courbevoie Walking","0.49","32","00:07:20.9","101","125","0.3","88","126","14:52","4:04","30","3","0.76","--","--","--","--","--","0.0","--","--","706","--","--","-1","No","00:07:20.9","1","--","--","--","--","--","--","--","--","--","00:06:05","00:07:20.9","40","68"
Walking,2026-04-20 08:53:36,false,"Gennevilliers Walking","0.60","43","00:09:40.3","105","129","0.3","79","126","16:02","6:19","3","2","0.79","--","--","--","--","--","0.0","--","--","820","--","--","-1","No","00:09:40.3","1","--","--","--","--","--","--","--","--","--","00:06:57","00:09:40.3","28","32"
Walking,2026-04-18 10:55:49,false,"Paris Walking","0.88","63","00:15:20","98","114","0.4","72","150","17:23","5:07","16","--","0.80","--","--","--","--","--","0.0","--","--","1,190","--","--","-1","No","00:15:20","1","--","--","--","--","--","--","--","--","--","00:09:56","00:15:20","35","57"
Walking,2026-04-17 20:06:31,false,"Paris Walking","1.34","86","00:17:19","113","125","0.6","98","129","12:57","6:51","10","13","0.79","--","--","--","--","--","0.0","--","--","1,812","--","--","-1","No","00:05:41.9","2","--","--","--","--","--","--","--","--","--","00:14:36","00:17:19","36","47"
Treadmill Running,2026-04-17 17:11:15,false,"Treadmill Running","3.60","289","00:52:09","128","170","3.0","83","240","14:30","5:24","--","--","1.00","9.4","8.9","288","--","195","0.0","103","284","3,796","--","--","-5","No","00:05:48.2","4","--","--","--","--","--","--","--","--","--","00:24:53","00:54:41","--","--"
Walking,2026-04-17 09:32:50,false,"Gennevilliers Walking","0.61","50","00:10:34","111","136","0.4","71","125","17:27","9:55","3","1","0.81","--","--","--","--","--","0.0","--","--","872","--","--","--","No","00:10:34","1","--","--","--","--","--","--","--","--","--","00:06:17","00:10:34","28","32"
Walking,2026-04-16 13:38:49,false,"Gennevilliers Walking","0.86","62","00:15:52","105","126","0.3","81","140","18:27","4:03","2","--","0.67","--","--","--","--","--","0.0","--","--","1,380","--","--","-1","No","00:15:52","1","--","--","--","--","--","--","--","--","--","00:12:20","00:15:52","27","32"
Walking,2026-04-16 11:53:45,false,"Gennevilliers Walking","0.97","61","00:16:55","90","106","0.3","83","129","17:27","6:33","2","2","0.69","--","--","--","--","--","0.0","--","--","1,440","--","--","-2","No","00:16:55","1","--","--","--","--","--","--","--","--","--","00:13:06","00:16:55","27","32"
Treadmill Running,2026-04-15 18:26:19,false,"Treadmill Running","3.04","180","00:22:06","140","162","2.7","141","162","7:16","5:50","--","--","1.00","9.5","9.5","286","--","232","0.0","208","265","3,116","--","--","-5","No","00:00:31.4","4","--","--","--","--","--","--","--","--","--","00:19:41","00:22:06","--","--"
Walking,2026-04-15 17:34:22,false,"Paris Walking","1.47","74","00:16:59","102","127","0.5","59","125","11:31","3:23","7","2","2.57","--","--","--","--","--","0.0","--","--","1,208","--","--","-1","No","00:04:28.3","2","--","--","--","--","--","--","--","--","--","00:13:04","00:16:59","38","47"
